title,artist,album,release_date,url,image_url,year,genre,mood
Satya Akella .Mana Telugu Tejam,Naresh,Sankranthiki Vasthunam (Dialogues),2025-03-06,https://open.spotify.com/track/6sZMxfJo5YZPOAuOc4e1Cj,https://i.scdn.co/image/ab67616d0000b27387cdad04508cfc0b9595151f,2025,Romantic,Happy
Ak - The Tiger,Darkkey,Good Bad Ugly [TELUGU],2025-04-13,https://open.spotify.com/track/7HmYlNxtnnLdHQb7U9pFxm,https://i.scdn.co/image/ab67616d0000b27345d72d81935ecba307b0c627,2025,Romantic,Happy
Hero Clan Entry Song (TELUGU),L. V. Revanth,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/1trdGvASwbXkRr4ubwbgwV,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
The Soul Of Appanna - Part 2,Thaman S,Game Changer (Telugu),2025-02-02,https://open.spotify.com/track/2shYlun53VlMEWm9VUXBqz,https://i.scdn.co/image/ab67616d0000b27392f6193b03f49a56d2416a6b,2025,Romantic,Happy
Achcha Vanne Poovvaa,A.R. Rahman,Thug Life (Telugu),2025-05-24,https://open.spotify.com/track/4MvJlVC0tNBsI092HhOCOF,https://i.scdn.co/image/ab67616d0000b273f930b52c67fa54af1c0a28e3,2025,Romantic,Happy
⁠Fall of the Hero - Instrumental,Shakthisree Gopalan,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,https://open.spotify.com/track/2U3155pXVjy5PoPMgahtTK,https://i.scdn.co/image/ab67616d0000b273b868ec09ffe02f40a5880ee5,2025,Romantic,Happy
Chandudu Clan Entry Song (TELUGU),Shyam Prasad,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/31l3tZ21RLiAZIAXtC88gM,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Kampadu Clan Entry Song (TELUGU),Ramki Velagada,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/4GmFWpHkhfy7zZqmWFbdiQ,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Hanuman Chalisa Telugu Fast,Taanaswaram,Hanuman Chalisa Telugu Fast,2025-05-12,https://open.spotify.com/track/209tM5jN9I3bynXIuJswtl,https://i.scdn.co/image/ab67616d0000b273ab12e00e7528914489545148,2025,Romantic,Happy
"45 The Arrival (From ""45 "") [Telugu Version]",MC Vicky,"45 The Arrival Telugu (From ""45 "") [Telugu Version]",2025-03-25,https://open.spotify.com/track/2k8JoE41PMJDRS27FjhzX4,https://i.scdn.co/image/ab67616d0000b2734b66ca422dc5e2f3285f0a18,2025,Romantic,Happy
"Nelamma Thalle (From ""Aghathiyaa"")",Yuvan Shankar Raja,Aghathiyaa - Telugu (Original Motion Picture Soundtrack),2025-04-05,https://open.spotify.com/track/4c2gvFMTMkpJOzUdXNGgLA,https://i.scdn.co/image/ab67616d0000b273168b3ca9c9d118c41d767f7b,2025,Romantic,Happy
Heroine Clan Entry Song (TELUGU),Aruna Mary George,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/7MdgjeahNs0gLc65IKbTAH,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
"Raaja Raaja (From ""Kingston"") (Telugu)",G. V. Prakash,"Raaja Raaja (From ""Kingston"") (Telugu)",2025-03-04,https://open.spotify.com/track/7DEgA7kG8cGX31l1chmgoy,https://i.scdn.co/image/ab67616d0000b27373a805af1ac9770efa6f73c0,2025,Romantic,Happy
CM Ram Nandan,Thaman S,Game Changer (Telugu),2025-02-02,https://open.spotify.com/track/3AMHnxP9wBA95XENEEZ5Cl,https://i.scdn.co/image/ab67616d0000b27392f6193b03f49a56d2416a6b,2025,Romantic,Happy
Arugu Meedha,Thaman S,Game Changer (Telugu),2025-01-04,https://open.spotify.com/track/0jeU9BaMcV1ozg1bRdbAQO,https://i.scdn.co/image/ab67616d0000b2738b395cc60acd21733fb64cf1,2025,Romantic,Happy
Mundudu Clan Entry Song (TELUGU),Kareemullah,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/01UPdiKfGFQ7yAvwbX1uA0,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
The Unpredictable Rap Verse,Thaman S,Game Changer (Telugu),2025-02-02,https://open.spotify.com/track/3AM69qzTqwns3FLV0dTyZG,https://i.scdn.co/image/ab67616d0000b27392f6193b03f49a56d2416a6b,2025,Romantic,Happy
Naa Priyude Chentaku Vachene - Telugu,Enbee,Naa Priyude Chentaku Vachene - Telugu,2025-07-15,https://open.spotify.com/track/55lqAsPmOrnVZRwGTiEYob,https://i.scdn.co/image/ab67616d0000b2739603adb5f11bf55dc47dbb98,2025,Romantic,Happy
Shiva Theme,Dasari Meghanaa Naidu,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/05TXe6NNbcfakRYVpcLYuk,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Visvada Naayakaa,A.R. Rahman,Thug Life (Telugu),2025-05-24,https://open.spotify.com/track/3Y5aLEWxnM1Y1FNtPqip3Q,https://i.scdn.co/image/ab67616d0000b273f930b52c67fa54af1c0a28e3,2025,Romantic,Happy
Alapana,Aruna Mary George,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/16kppdfn8KuYYDaPuL3roM,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Praanamlo,A.R. Rahman,Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,https://open.spotify.com/track/4txBCSSEJvGpSjD1DsjoJo,https://i.scdn.co/image/ab67616d0000b273c62fa46c489ea613391052bc,2025,Romantic,Happy
Achcha Vanne Poovvaa (Reprise),A.R. Rahman,Thug Life (Telugu),2025-05-24,https://open.spotify.com/track/4vPsdRr6eCrPD4jMh8gzAB,https://i.scdn.co/image/ab67616d0000b273f930b52c67fa54af1c0a28e3,2025,Romantic,Happy
The Raid,Thaman S,Game Changer (Telugu),2025-02-02,https://open.spotify.com/track/4rXh49XtpUTwQtKaWy9x1o,https://i.scdn.co/image/ab67616d0000b27392f6193b03f49a56d2416a6b,2025,Romantic,Happy
"Peelings (From ""Pushpa 2 The Rule"")",Shankarr Babu Kandukoori,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/7JSLrhi5TY729HuU6N1iVN,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
Edella kalam idemi Gosa,Akunuri Devayya,Telugu Folk Songs Telangana Janapadalu Vol - 6,2025-04-24,https://open.spotify.com/track/098rNQ8WjrQ7aL8SXz1C15,https://i.scdn.co/image/ab67616d0000b273a05ca874ee0f4a7da72145df,2025,Romantic,Happy
Kallalo Kaneerenduku,George Sambathini,Telugu Christian Songs,2025-01-26,https://open.spotify.com/track/7t4G70qDZbkcqCKrOwZuM4,https://i.scdn.co/image/ab67616d0000b273840015caffefa1683c3591d4,2025,Romantic,Happy
Aakashamul Gatiyinchina,George Sambathini,Telugu Christian Songs,2025-01-26,https://open.spotify.com/track/0SWk7HAU42ZjFchBqra8zU,https://i.scdn.co/image/ab67616d0000b273840015caffefa1683c3591d4,2025,Romantic,Happy
Kannappa Theme Music-2,Stephen Devassy,Kannappa (TELUGU),2025-06-27,https://open.spotify.com/track/5fa6bBIJI9aqRjQnCkcIqr,https://i.scdn.co/image/ab67616d0000b27372ea6727b1cadf31f8a887cf,2025,Romantic,Happy
Sugar Baby,A.R. Rahman,Thug Life (Telugu),2025-05-24,https://open.spotify.com/track/2txqiPSc94VtpimInFh0fO,https://i.scdn.co/image/ab67616d0000b273f930b52c67fa54af1c0a28e3,2025,Romantic,Happy
